start-date,curr-date,tickersymbol,amt,close,unrealized-asset
2019-01-02,2019-01-02,MCH,100,100.0,59994.0
2019-01-02,2019-01-03,MCH,100,100.5,60044.0
2019-01-02,2019-01-04,MCH,100,100.0,59994.0
2019-01-02,2019-01-07,MCH,100,100.0,59994.0
2019-01-02,2019-01-08,MCH,100,101.0,60094.0
2019-01-02,2019-01-09,MCH,100,100.1,60004.0
2019-01-02,2019-01-10,MCH,100,100.8,60074.0
2019-01-02,2019-01-11,MCH,100,101.0,60094.0
2019-01-02,2019-01-14,MCH,100,102.0,60194.0
2019-01-02,2019-01-15,MCH,100,102.2,60214.0
2019-01-02,2019-01-16,MCH,100,103.2,60314.0
2019-01-02,2019-01-17,MCH,100,106.0,60594.0
2019-01-02,2019-01-18,MCH,100,105.9,60584.0
2019-01-02,2019-01-21,MCH,100,106.5,60644.0
2019-01-02,2019-01-22,MCH,100,108.0,60794.0
2019-01-02,2019-01-23,MCH,100,110.0,60994.0
2019-01-02,2019-01-24,MCH,100,108.0,60794.0
2019-01-02,2019-01-25,MCH,100,108.0,60794.0
2019-01-02,2019-01-28,MCH,100,108.0,60794.0
2019-01-02,2019-01-29,MCH,100,108.0,60794.0
2019-01-02,2019-01-30,MCH,100,108.0,60794.0
2019-01-02,2019-01-31,MCH,100,108.0,60794.0
2019-01-02,2019-02-01,MCH,100,108.0,60794.0
2019-01-02,2019-02-11,MCH,100,109.0,60894.0
2019-01-02,2019-02-12,MCH,100,108.6,60854.0
2019-01-02,2019-02-13,MCH,100,108.6,60854.0
2019-01-02,2019-02-14,MCH,100,109.0,60894.0
2019-01-02,2019-02-15,MCH,100,110.0,60994.0
2019-02-18,2019-02-18,HT1,1200,16.15,59988.372
2019-01-02,2019-02-18,MCH,100,109.8,60974.0
2019-02-18,2019-02-19,HT1,1200,16.1,59928.372
2019-02-19,2019-02-19,HT1,1200,16.1,59988.408
2019-01-02,2019-02-19,MCH,100,109.9,60984.0
2019-02-20,2019-02-20,DPR,500,39.0,59988.3
2019-02-18,2019-02-20,HT1,1200,15.9,59688.372
2019-02-19,2019-02-20,HT1,1200,15.9,59748.408
2019-01-02,2019-02-20,MCH,100,110.0,60994.0
2019-02-20,2019-02-21,DPR,500,38.8,59888.3
2019-02-21,2019-02-21,DPR,500,38.8,59988.36
2019-02-18,2019-02-21,HT1,1200,15.85,59628.372
2019-02-19,2019-02-21,HT1,1200,15.85,59688.408
2019-01-02,2019-02-21,MCH,100,109.9,60984.0
2019-02-20,2019-02-22,DPR,500,39.0,59988.3
2019-02-21,2019-02-22,DPR,500,39.0,60088.36
2019-02-22,2019-02-22,DPR,500,39.0,59988.3
2019-02-18,2019-02-22,HT1,1200,15.35,59028.372
